known_beta,original_n,bias_level,data_model,median_ci_range,median_abs_bias,sd_abs_bias,n
-0.5,10000,moderate,lambda_trimmed,0.21496007450095267,0.11168289888465763,0.19539467418692774,188
-0.5,10000,moderate,lambda_under,0.02900482999610482,0.08940349567436576,0.004023037014370431,188
-0.5,10000,strong,lambda_trimmed,0.2683856905396611,0.16080643896560515,0.20705938402011212,189
-0.5,10000,strong,lambda_under,0.041448529899504316,0.19696885657843516,0.005624378833832766,189
-0.5,10000,extreme,lambda_trimmed,0.3615377585458731,0.2604044431683641,0.196966341422513,151
-0.5,10000,extreme,lambda_under,0.02712787476311629,0.21939514449738362,0.009979107091493212,151
-0.25,10000,minimal,lambda_trimmed,0.018351024006367928,0.0038071053446482317,0.003457845242259715,500
-0.25,10000,minimal,lambda_under,0.012148331192417428,0.004797091008295493,0.0030736230570993154,500
-0.25,10000,moderate,lambda_trimmed,0.03718358079028579,0.008233184595158108,0.006957460295421255,500
-0.25,10000,moderate,lambda_under,0.01289863806660374,0.04732793026522375,0.0031839416591980725,500
-0.25,10000,strong,lambda_trimmed,0.07189381079233921,0.01977213560144621,0.015955952343497098,500
-0.25,10000,strong,lambda_under,0.014570746023326836,0.10216001333201703,0.0037994955944796187,500
-0.25,10000,extreme,lambda_trimmed,0.1723153460045418,0.05434115794622647,0.10654931677701761,478
-0.25,10000,extreme,lambda_under,0.01656804092454242,0.11191256078896203,0.005987172720810893,478
-0.1,10000,minimal,lambda_trimmed,0.01775920484153555,0.0030651992809489353,0.003525849788977024,500
-0.1,10000,minimal,lambda_under,0.011562681089066787,0.002589457040087499,0.0021435511266843705,500
-0.1,10000,moderate,lambda_trimmed,0.03603534467463128,0.007080198332739679,0.0063090128815796445,500
-0.1,10000,moderate,lambda_under,0.010692209096226327,0.019151407551201823,0.0030526984544257947,500
-0.1,10000,strong,lambda_trimmed,0.06529509299252471,0.012508704960400983,0.013413696550023781,500
-0.1,10000,strong,lambda_under,0.010291012656305623,0.04099284498170204,0.0029760536839790854,500
-0.1,10000,extreme,lambda_trimmed,0.16125359062815967,0.03380149337889263,0.05313720386522552,499
-0.1,10000,extreme,lambda_under,0.014832294674455501,0.04471043600047874,0.004415808147874488,499
0,10000,minimal,lambda_trimmed,0.01867266937766695,0.003223409060342758,0.003483049943497739,500
0,10000,minimal,lambda_under,0.011358779727001608,0.0021472381787863088,0.0019157746238984386,500
0,10000,moderate,lambda_trimmed,0.03491498918035838,0.006671461506109845,0.006511250777614034,500
0,10000,moderate,lambda_under,0.00973708650884498,0.002065311551525867,0.001889487209795264,500
0,10000,strong,lambda_trimmed,0.06591638280371884,0.012791656951475558,0.012892325585519145,500
0,10000,strong,lambda_under,0.010214837326373797,0.0019231166748725733,0.0017630854889865081,500
0,10000,extreme,lambda_trimmed,0.16547546813967037,0.031272273613846574,0.05664134421807958,499
0,10000,extreme,lambda_under,0.014510021923586941,0.003090686265372094,0.0025473646654992663,499
